Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1e-07,77.65999603271484,77.40640258789062,4.141650957493129e+33,15.92464804649353
20,tensor(0.0100),29.797901153564453,29.851131439208984,9208346968064.0,255.79687428474426
40,tensor(0.0091),6.69404935836792,6.793962478637695,892.44287109375,372.1890423297882
60,tensor(0.0069),4.715939998626709,4.783051490783691,119.46835327148438,496.7426917552948
80,tensor(0.0040),4.383662700653076,4.394413948059082,80.99714660644531,618.3437879085541
100,tensor(0.0014),4.3153977394104,4.316217422485352,74.9047622680664,771.247802734375
120,tensor(0.0002),4.278391361236572,4.252810001373291,70.30268859863281,903.7915253639221
140,tensor(0.0099),4.104761123657227,4.004650592803955,54.85265350341797,1037.519820690155
160,tensor(0.0094),3.9474093914031982,3.900942325592041,49.44902420043945,1166.759616136551
180,tensor(0.0084),3.8300681114196777,3.7774293422698975,43.70355224609375,1339.8371784687042
200,tensor(0.0072),3.5793211460113525,3.6238954067230225,37.48329544067383,1453.8322656154633
220,tensor(0.0058),3.544786214828491,3.394036054611206,29.785926818847656,1549.800192117691
240,tensor(0.0044),3.426762104034424,3.437535285949707,31.110185623168945,1644.3389632701874
260,tensor(0.0030),3.283949136734009,3.334965944290161,28.07742691040039,1739.5811395645142
280,tensor(0.0017),3.1877360343933105,3.196201801300049,24.43952751159668,1835.8929476737976
300,tensor(0.0008),3.207130193710327,3.2411532402038574,25.56318473815918,1932.332183122635
320,tensor(0.0002),3.088172435760498,3.17899751663208,24.022659301757812,2026.3706829547882
340,tensor(0.0100),3.1156139373779297,3.042058229446411,20.948314666748047,2122.422164440155
360,tensor(0.0099),2.9125521183013916,2.9448838233947754,19.008453369140625,2215.5414700508118
380,tensor(0.0097),2.9055593013763428,2.8763768672943115,17.749845504760742,2308.7921159267426
400,tensor(0.0094),2.7023892402648926,2.7804763317108154,16.12670135498047,2396.917278766632
420,tensor(0.0091),2.6708295345306396,2.625183582305908,13.807108879089355,2483.741780757904
440,tensor(0.0086),2.5085220336914062,2.5735275745391846,13.1119966506958,2569.6289010047913
460,tensor(0.0080),2.6320598125457764,2.541425943374634,12.69776439666748,2655.094120979309
480,tensor(0.0074),2.5224757194519043,2.4847612380981445,11.998255729675293,2740.515345811844
500,tensor(0.0067),2.6169323921203613,2.5361409187316895,12.630833625793457,2828.2220072746277
520,tensor(0.0060),2.4507322311401367,2.404919385910034,11.077537536621094,2917.4038379192352
540,tensor(0.0053),2.429849624633789,2.3953089714050293,10.971587181091309,3005.839983224869
560,tensor(0.0046),2.3540914058685303,2.4256436824798584,11.3095064163208,3097.14071559906
580,tensor(0.0038),2.4192638397216797,2.4552149772644043,11.648937225341797,3187.6740942001343
600,tensor(0.0031),2.3620238304138184,2.290330171585083,9.878198623657227,3275.369096517563
620,tensor(0.0025),2.3108131885528564,2.426551342010498,11.31977653503418,3363.7917442321777
640,tensor(0.0019),2.3082385063171387,2.3791556358337402,10.795783042907715,3453.5606610774994
660,tensor(0.0013),2.322004795074463,2.219240427017212,9.200340270996094,3542.640192270279
680,tensor(0.0009),2.33451247215271,2.297363758087158,9.947922706604004,3629.3467297554016
700,tensor(0.0005),2.263247489929199,2.239602565765381,9.389598846435547,3713.583055973053
720,tensor(0.0003),2.22479510307312,2.2769100666046143,9.7465181350708,3798.433526277542
740,tensor(0.0001),2.3428702354431152,2.2445154190063477,9.43584156036377,3883.339779853821
760,tensor(0.0100),2.412883996963501,2.3616437911987305,10.60837459564209,3970.112167596817
780,tensor(0.0100),2.2956361770629883,2.2429440021514893,9.421026229858398,4051.5806267261505
800,tensor(0.0099),2.1973581314086914,2.2602105140686035,9.58510684967041,4125.811435222626
820,tensor(0.0099),2.2565269470214844,2.2942466735839844,9.916962623596191,4196.274520397186
840,tensor(0.0098),2.205306053161621,2.247178316116333,9.461002349853516,4264.494323015213
860,tensor(0.0096),2.146611452102661,2.0650763511657715,7.885900020599365,4330.5469925403595
880,tensor(0.0095),2.110217332839966,2.207472085952759,9.09270191192627,4395.545700788498
900,tensor(0.0093),2.1198232173919678,2.067164182662964,7.902381420135498,4460.046407699585
920,tensor(0.0091),2.0197415351867676,2.0517024993896484,7.781136989593506,4524.967978477478
940,tensor(0.0089),2.061366081237793,2.1089601516723633,8.239668846130371,4589.30464553833
960,tensor(0.0087),2.020068883895874,1.997428297996521,7.370078086853027,4654.651870727539
980,tensor(0.0084),2.1276822090148926,2.025885581970215,7.582823276519775,4718.316590309143
1000,tensor(0.0081),2.00881028175354,1.9717057943344116,7.182918548583984,4782.056213855743
1020,tensor(0.0078),1.940462589263916,1.9434558153152466,6.982840538024902,4847.1609399318695
1040,tensor(0.0075),1.981297492980957,1.9766631126403809,7.2186150550842285,4912.229299783707
1060,tensor(0.0072),1.9437390565872192,2.04289174079895,7.712880611419678,4976.2884612083435
1080,tensor(0.0068),1.9185446500778198,2.0236964225769043,7.566241264343262,5040.678298711777
1100,tensor(0.0065),1.9769879579544067,1.9571291208267212,7.078975200653076,5104.8248081207275
1120,tensor(0.0061),1.978587031364441,1.9435142278671265,6.983248710632324,5168.456175088882
1140,tensor(0.0058),1.9831856489181519,1.8987828493118286,6.677761554718018,5232.3625547885895
1160,tensor(0.0054),1.9012097120285034,1.8960589170455933,6.6595964431762695,5300.1183824539185
1180,tensor(0.0050),1.9264007806777954,1.9001461267471313,6.686871528625488,5365.403285980225
1200,tensor(0.0047),1.8703008890151978,1.8606681823730469,6.428030490875244,5428.8441026210785
1220,tensor(0.0043),1.7932647466659546,1.9309685230255127,6.896186351776123,5493.930284500122
1240,tensor(0.0039),1.8750685453414917,1.7911474704742432,5.996329307556152,5558.317487239838
1260,tensor(0.0036),1.8947211503982544,1.8154186010360718,6.143647193908691,5622.622316837311
1280,tensor(0.0032),1.899652361869812,1.9258676767349243,6.8610992431640625,5686.230527639389
1300,tensor(0.0029),1.8442968130111694,1.840197205543518,6.2977800369262695,5750.501946926117
1320,tensor(0.0026),1.833798885345459,1.7704883813858032,5.873721122741699,5829.229300498962
1340,tensor(0.0022),1.8186663389205933,1.7400387525558472,5.697564125061035,5901.302851676941
1360,tensor(0.0020),1.7267208099365234,1.8664345741271973,6.465204238891602,5965.43829369545
1380,tensor(0.0017),1.8223198652267456,1.7732356786727905,5.889880180358887,6039.233491182327
1400,tensor(0.0014),1.7410154342651367,1.8266521692276,6.2130513191223145,6104.691338777542
1420,tensor(0.0012),1.8675435781478882,1.7994472980499268,6.046304702758789,6167.902660608292
1440,tensor(0.0010),1.7711938619613647,1.7432440519332886,5.715856075286865,6232.311567544937
1460,tensor(0.0008),1.7717751264572144,1.7467206716537476,5.735762119293213,6297.041474342346
1480,tensor(0.0006),1.800199031829834,1.7180155515670776,5.57345724105835,6363.604693174362
1500,tensor(0.0004),1.7541521787643433,1.8648440837860107,6.454929351806641,6429.650158166885
1520,tensor(0.0003),1.777862548828125,1.7874289751052856,5.97407341003418,6493.696302652359
1540,tensor(0.0002),1.716255784034729,1.7607864141464233,5.817010402679443,6558.3348088264465
1560,tensor(0.0002),1.7490123510360718,1.7357014417648315,5.672905445098877,6622.122535228729
1580,tensor(0.0001),1.7875192165374756,1.829329490661621,6.229708194732666,6686.175862789154
1600,0.0001,1.734329342842102,1.6328530311584473,5.118457317352295,6751.713063716888
1620,0.0001,1.7667874097824097,1.7818089723587036,5.940593242645264,6816.752481460571
1640,0.0001,1.722236156463623,1.829383134841919,6.230042457580566,6880.421972036362
1660,0.0001,1.7511976957321167,1.730359435081482,5.64268159866333,6943.879057168961
1680,0.0001,1.7857270240783691,1.7804632186889648,5.93260383605957,7009.362803697586
1700,0.0001,1.8436875343322754,1.7717665433883667,5.8812336921691895,7078.02436876297
1720,0.0001,1.7713216543197632,1.802587866783142,6.065323352813721,7147.282686471939
1740,0.0001,1.8531633615493774,1.789345622062683,5.985534191131592,7211.830210447311
1760,0.0001,1.829895257949829,1.8081337213516235,6.099054336547852,7276.378324270248
1780,0.0001,1.7621632814407349,1.7024939060211182,5.487616062164307,7340.266857385635
1800,0.0001,1.6656277179718018,1.8454800844192505,6.331138610839844,7405.703308105469
1820,0.0001,1.7491337060928345,1.803330659866333,6.069830417633057,7470.186334848404
1840,0.0001,1.8502014875411987,1.7451351881027222,5.726675510406494,7537.743083000183
1860,0.0001,1.7314847707748413,1.8476099967956543,6.344637393951416,7601.857526540756
1880,0.0001,1.7628315687179565,1.774357557296753,5.896492004394531,7665.469755649567
1900,0.0001,1.8645128011703491,1.740962266921997,5.702828407287598,7731.533237218857
1920,0.0001,1.7620567083358765,1.880359172821045,6.555859088897705,7795.635900735855
1940,0.0001,1.7242854833602905,1.8272563219070435,6.216806411743164,7859.46272611618
1960,0.0001,1.7414560317993164,1.729455590248108,5.6375837326049805,7923.383150577545
1980,0.0001,1.8124651908874512,1.7438148260116577,5.719119071960449,7987.126425504684
1999,0.0001,1.758063793182373,1.7196815013885498,5.58275032043457,8048.322052001953
